Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Respuesta Correcta
"¿Quién es el protagonista principal de la serie?","Jon Snow","Daenerys Targaryen","Tyrion Lannister","Eddard Stark",1
"¿Qué familia controla el norte de Westeros?","Lannister","Stark","Targaryen","Baratheon",2
"¿Quién es el rey al inicio de la serie?","Robert Baratheon","Joffrey Baratheon","Renly Baratheon","Stannis Baratheon",1
"¿Qué le pasa a Ned Stark al final de la primera temporada?","Es asesinado por Joffrey Baratheon","Es exiliado al muro","Es encarcelado","Se convierte en rey",1
"¿Cómo se llama la hija de Eddard Stark y Catelyn Stark que es secuestrada por los Lannister?","Sansa","Arya","Bran","Robb",1
"¿Qué apodo le da Tyrion Lannister a Jon Snow en la primera temporada?","El Bastardo","El Lobo","El Hombre de Nieve","El Príncipe de la Noche",3
"¿A qué ciudad se dirige Daenerys Targaryen para conseguir su ejército?","Braavos","Qarth","Meereen","Yunkai",2
"¿Quién se convierte en la esposa de Khal Drogo?","Sansa Stark","Cersei Lannister","Daenerys Targaryen","Brienne de Tarth",3
"¿Qué criatura mítica es resucitada por Daenerys Targaryen al final de la primera temporada?","Dragón","Lobo gigante","Manticora","Dragón de fuego",1
"¿Qué le pasa a Robb Stark al final de la tercera temporada?","Muere en la Batalla de los Bastardos","Se casa con una princesa del sur","Muere en la Boda Roja","Es capturado por los Lannister",3
"¿Quién mata a Joffrey Baratheon?","Tyrion Lannister","Olenna Tyrell","Cersei Lannister","Sansa Stark",2
"¿Qué personaje es conocido como 'La Montaña'?","Sandor Clegane","Gregor Clegane","Jorah Mormont","Daario Naharis",2
"¿Qué animal es el compañero de Jon Snow?","Lobo","Dragón","Halcón","Oso",1
"¿Quién mata a Tywin Lannister?","Jaime Lannister","Tyrion Lannister","Arya Stark","Cersei Lannister",2
"¿En qué ciudad se encuentra la sede del Banco de Hierro?","Braavos","Volantis","Dorne","Qarth",1
"¿Qué personaje es conocido como 'La Perra'?","Cersei Lannister","Arya Stark","Brienne de Tarth","Sansa Stark",2
"¿Cómo se llama el lobo gigante de Jon Snow?","Bran","Ghost","Nymeria","Summer",2
"¿Cómo se llama el hermano de Daenerys Targaryen que fue asesinado por Khal Drogo?","Viserys","Aerys","Rhaegar","Robert",1
"¿Cómo se llama la ciudad donde se realiza la Boda Roja?","Invernalia","Foso Cailin","Los Gemelos","Desembarco del Rey",3
"¿Qué personaje es conocido como 'El Hombre sin Rostro'?","Jaqen H'ghar","Sandor Clegane","Tyrion Lannister","Theon Greyjoy",1
"¿Qué hechizo usa Bran Stark para poseer al cuervo de tres ojos?","El poder de la magia ancestral","El poder del norte","El poder del cuervo","No usa hechizo, solo se concentra",4
"¿Qué personaje mata a Varys?","Tyrion Lannister","Jon Snow","Daenerys Targaryen","Cersei Lannister",3
"¿Quién es el líder de la Guardia Nocturna cuando Jon Snow se une?","Mormont","Samwell Tarly","Jeor Mormont","Alliser Thorne",3
"¿Qué ciudad destruye Daenerys Targaryen al final de la serie?","Qarth","Desembarco del Rey","Meereen","Astapor",2
"¿Quién mata a Ramsay Bolton?","Jon Snow","Sansa Stark","Arya Stark","Theon Greyjoy",2
"¿Quién es conocido como 'El Rey en el Norte'?","Jon Snow","Robb Stark","Brandon Stark","Ned Stark",2
"¿Qué personaje es conocido como 'El Príncipe de Dorne'?","Oberyn Martell","Doran Martell","Tyrion Lannister","Theon Greyjoy",1
"¿Qué casa tiene como lema 'El Invierno Se Acerca'?","Stark","Lannister","Targaryen","Tyrell",1
"¿Qué animal es el emblema de la casa Stark?","León","Lobo","Dragón","Águila",2
"¿Qué apodo tiene Tyrion Lannister?","El Enano","El León de la Montaña","El Hombre Lobo","El Hijo del Vino",1
"¿Qué personaje se convierte en Reina de los Siete Reinos?","Cersei Lannister","Daenerys Targaryen","Sansa Stark","Arya Stark",3
"¿Quién mata a Joffrey Baratheon?","Tyrion Lannister","Sansa Stark","Olenna Tyrell","Arya Stark",3
"¿Qué personaje recibe el apodo de 'El Perro'?","Tyrion Lannister","Sandor Clegane","Jaime Lannister","Jon Snow",2
"¿Qué es lo que da poder a las personas que vienen de las Islas del Hierro?","La magia ancestral","La religión de los Siete","El culto del dios ahogado","El poder de la tormenta",3
